case,phase,condition,session,outcome
Christy,C1,Differential reinforcement of alternative behavior,31,9.19
Christy,C1,Differential reinforcement of alternative behavior,32,0
Christy,C1,Differential reinforcement of alternative behavior,33,5.5
Christy,C1,Differential reinforcement of alternative behavior,34,5.5
Gary,A1,No Choice,1,24.62
Gary,A1,No Choice,2,44.72
Gary,A1,No Choice,3,67.81
Gary,A1,No Choice,4,37.07
Gary,A1,No Choice,5,41.48
Gary,A1,No Choice,6,71.29
Gary,A1,No Choice,7,67.47
Gary,A1,No Choice,8,85.32
Gary,A1,No Choice,9,69.53
Gary,A1,No Choice,10,99.35
Gary,B1,Choice,11,30.48
Gary,B1,Choice,12,52.82
Gary,B1,Choice,13,40.03
Gary,B1,Choice,14,4.8
Gary,B1,Choice,15,15.18
Gary,B1,Choice,16,40.52
Gary,B1,Choice,17,9.03
Gary,A2,No Choice,18,87.45
Gary,A2,No Choice,19,72.4
Gary,A2,No Choice,20,78.31
Gary,A2,No Choice,21,96.91
Gary,A2,No Choice,22,63.17
Gary,A2,No Choice,23,89.26
Gary,B2,Choice,24,0
Gary,B2,Choice,25,40
Gary,B2,Choice,26,22.45
Gary,B2,Choice,27,6.67
Gary,B2,Choice,28,82.84
Gary,B2,Choice,29,25.01
Gary,B2,Choice,30,1.92
Gary,B2,Choice,31,25.01
Gary,B2,Choice,32,14.45
Maggie,A1,No Choice,1,26.13
Maggie,A1,No Choice,2,36.5
Maggie,A1,No Choice,3,20
Maggie,A1,No Choice,4,58
Maggie,A1,No Choice,5,82.58
Maggie,A1,No Choice,6,73.52
Maggie,A1,No Choice,7,70.44
Maggie,A1,No Choice,8,74.85
Maggie,B1,Choice,9,21.68
Maggie,B1,Choice,10,34.3
Maggie,B1,Choice,11,26.74
Maggie,B1,Choice,12,30.39
Maggie,A2,No Choice,13,44.5
Maggie,A2,No Choice,14,54.88
Maggie,A2,No Choice,15,80
Maggie,A2,No Choice,16,66.66
Maggie,A2,No Choice,17,61.34
Maggie,A2,No Choice,18,97.88
Maggie,B2,Choice,19,10.32
Maggie,B2,Choice,20,5.75
Maggie,A3,No Choice,21,79.68
Maggie,A3,No Choice,22,96.78
Maggie,B3,Choice,23,24.17
Maggie,B3,Choice,24,16.61
Rick,A1,No Choice,1,20.18
Rick,A1,No Choice,2,29.55
Rick,A1,No Choice,3,57.66
Rick,A1,No Choice,4,55.5
Rick,A1,No Choice,5,61.98
Rick,A1,No Choice,6,67.75
Rick,A1,No Choice,7,43.24
Rick,A1,No Choice,8,66.31
Rick,A1,No Choice,9,76.4
Rick,B1,Choice,10,82.16
Rick,B1,Choice,11,84.32
Rick,B1,Choice,12,72.07
Rick,B1,Choice,13,64.14
Rick,B1,Choice,14,70.63
Rick,B1,Choice,15,77.84
Rick,A2,No Choice,16,98.02
Rick,A2,No Choice,17,100
Rick,A2,No Choice,18,29.55
Rick,A2,No Choice,19,57.66
Rick,A2,No Choice,20,91.53
Rick,A2,No Choice,21,91.5
Rick,B2,Choice,22,100
Rick,B2,Choice,23,95.14
Rick,B2,Choice,24,47.57
Rick,B2,Choice,25,61.26
Rick,B2,Choice,26,51.89
Rick,B2,Choice,27,38.92
Rick,B2,Choice,28,97.3
Rick,B2,Choice,29,55.5
Rick,C1,Differential reinforcement of alternative behavior,30,25.95
Rick,C1,Differential reinforcement of alternative behavior,31,0.72
Rick,C1,Differential reinforcement of alternative behavior,32,0.72
Rick,C1,Differential reinforcement of alternative behavior,33,5.77
Rick,C1,Differential reinforcement of alternative behavior,34,5.79
Rick,C1,Differential reinforcement of alternative behavior,35,5.05
Riley,A1,No Choice,1,84
Riley,A1,No Choice,2,50
Riley,A1,No Choice,3,84
Riley,A1,No Choice,4,97
Riley,A1,No Choice,5,60
Riley,A1,No Choice,6,39
Riley,A1,No Choice,7,102
Riley,A1,No Choice,8,60
Riley,A1,No Choice,9,14
Riley,A1,No Choice,10,64
Riley,A1,No Choice,11,105
Riley,A1,No Choice,12,69
Riley,A1,No Choice,13,75
Riley,A1,No Choice,14,101
Riley,A1,No Choice,15,86
Riley,B1,Choice,16,79
Riley,B1,Choice,17,124
Riley,B1,Choice,18,75
Riley,B1,Choice,19,75
Riley,B1,Choice,20,130
Riley,B1,Choice,21,114
Riley,A2,No Choice,22,53
Riley,A2,No Choice,23,80
Riley,A2,No Choice,24,106
Riley,A2,No Choice,25,142
Riley,A2,No Choice,26,80
Riley,A2,No Choice,27,50
Riley,B2,Choice,28,73
Riley,B2,Choice,29,139
Riley,B2,Choice,30,99
Riley,B2,Choice,31,110
Riley,B2,Choice,32,105
Riley,B2,Choice,33,121
Riley,C1,Differential reinforcement of alternative behavior,34,23
Riley,C1,Differential reinforcement of alternative behavior,35,13
Riley,C1,Differential reinforcement of alternative behavior,36,9
Riley,C1,Differential reinforcement of alternative behavior,37,14
Riley,C1,Differential reinforcement of alternative behavior,38,5
Riley,C1,Differential reinforcement of alternative behavior,39,14
Riley,C1,Differential reinforcement of alternative behavior,40,0
Riley,C1,Differential reinforcement of alternative behavior,41,3
